date,pre,hum,tem,occ
28/05/2020 10:20,94848.3,60.48,30.33,L
26/05/2020 04:05,94404.28,49.4,30.57,L
25/05/2020 21:35,94046.76,50.15,32.41,L
26/05/2020 06:50,94619.45,53.81,29.43,L
04/06/2020 20:40,94477.2,50.76,31.45,L
01/06/2020 08:55,95209.21,68.24,26.06,E
31/05/2020 19:05,94830.23,48.43,30.78,H
04/06/2020 10:25,94682.51,61.03,30.27,L
27/05/2020 08:35,94818.44,63.04,27.23,E
04/06/2020 05:20,94571.22,59.39,30.55,L
14/05/2020 23:15,94350.17,57.85,31.12,M
04/06/2020 03:25,94586.26,56.58,30.56,L
28/05/2020 03:55,94458.77,55.83,31.02,L
29/05/2020 04:05,94999.22,52.77,31.1,L
04/06/2020 08:40,94682.24,61.98,29.84,E
14/05/2020 21:20,94271.31,55.12,30.92,L
25/05/2020 21:30,94046.54,50.09,32.36,L
27/05/2020 07:45,94780.42,62.12,27.24,E
04/06/2020 10:45,94692.86,60.57,30.42,L
01/06/2020 13:00,95171.66,56.83,29.53,L
04/06/2020 07:20,94629.33,62.27,29.81,E
01/06/2020 06:25,95045.38,57.33,29.39,L
04/06/2020 03:35,94578.05,57.03,30.59,L
26/05/2020 05:05,94522.98,51.19,29.8,L
04/06/2020 06:00,94568.18,59.8,30.47,L
27/05/2020 08:55,94821.81,62.92,27.26,E
04/06/2020 23:05,94593.74,56.53,31.93,M
27/05/2020 06:25,94751.62,56.17,29.55,L
28/05/2020 04:05,94467.09,56,31.02,L
04/06/2020 06:45,94595.08,61.87,29.73,L
04/06/2020 19:05,94402.91,48.53,31.41,M
28/05/2020 07:00,94621.37,57.49,30.67,L
24/05/2020 13:00,94234.7,52.79,31.99,L
01/06/2020 12:15,95208.58,59.16,29.22,M
27/05/2020 08:10,94784.71,62.55,27.28,E
26/05/2020 06:05,94518.32,56.21,28.61,L
25/05/2020 19:40,93776.73,45.12,32.61,L
01/06/2020 02:20,95135.61,58.57,29.73,L
29/05/2020 01:10,95454.6,52.46,30.41,L
29/05/2020 04:55,95101.95,53.17,31.07,L
25/05/2020 20:50,93921.72,46.69,32.53,L
26/05/2020 23:45,94849.13,59.36,28.6,E
01/06/2020 10:50,95238.52,63.49,27.88,E
01/06/2020 08:05,95130.5,63.87,26.49,E
25/05/2020 21:45,94049.03,48.8,32.41,L
14/05/2020 21:40,94281.94,55.83,30.95,L
28/05/2020 12:35,94903.22,55.64,30.42,E
04/06/2020 06:55,94600.32,61.41,29.92,L
01/06/2020 07:25,95082.06,63.51,26.45,E
04/06/2020 08:35,94677.99,62.09,29.81,E
28/05/2020 03:05,94421.21,55.11,31.03,L
01/06/2020 06:40,95042.5,57.17,29.39,L
27/05/2020 07:35,94783.94,62.28,27.33,E
25/05/2020 23:05,94137.83,51.22,32.34,L
29/05/2020 04:00,94978.18,52.71,31.1,L
29/05/2020 02:00,95327.45,51.6,30.94,L
27/05/2020 06:45,94763.22,56.27,29.53,L
04/06/2020 11:40,94684.4,60.2,30.65,L
